# ----------------------------------------
# Events: Event name
# Account: Default Account for Firebase
# Property: ai-magic-fbd2e
# ----------------------------------------
# 
# All Users
# Start date: 20260831
# End date: 20260906
Event name,Event count,Total users,Event count per active user,Total revenue
pro_screen_from_home,979,617,1.586709886547812,0
btn_ai_video,957,445,2.150561797752809,0
carousel_native_shown_language_screen_6,954,944,1.0269106566200215,0
aiEnhancer_save_clicked,950,92,10.326086956521738,0
aiEnhancer_back_clicked,946,109,8.678899082568808,0
onboard_view,910,871,1.0459770114942528,0
Astro_AdLTV_OneDay_First20Percent,886,723,1.2254495159059475,0
profile_opened,871,505,1.7281746031746033,0
onlaunch_interstitial_no_fill,855,342,2.5073313782991202,0
native_onboarding_failed,793,292,2.725085910652921,0
onboarding_native_no_fill,792,291,2.731034482758621,0
inter_second_launch_failed,785,286,2.754385964912281,0
iap_premiumTab_clicked,740,499,1.4859437751004017,0
video_api_call_manually,732,390,1.8914728682170543,0
btn_daily_reward_claim,672,568,1.1830985915492958,0
video_api_call_success_wait_dialog,668,374,1.8102981029810299,0
inter_launch_dismissed,630,603,1.0465116279069768,0
carousel_native_shown_language_screen_7,583,575,1.0410714285714286,0
inter_launch_failed,477,456,1.0460526315789473,0
babyGen_fatherImageSelected,472,135,3.4962962962962965,0
babyGen_boySelected,448,268,1.671641791044776,0
Astro_AdLTV_OneDay_First10Percent,446,361,1.2354570637119113,0
babyGen_motherImageSelected,434,132,3.287878787878788,0
screen_view_transformation,414,259,1.5984555984555984,0
btn_transformation,412,258,1.5968992248062015,0
screen_view_babyGen,407,267,1.5243445692883895,0
btn_baby_gen,400,266,1.5037593984962405,0
carousel_native_shown_language_screen_8,382,381,1.0296495956873315,0
notify_clicked,331,210,1.5761904761904761,0
wait_clicked,323,245,1.3292181069958848,0
babyGen_fatherPhoto_clicked,284,147,1.9319727891156462,0
aiVideoEffects_cropConfirmed,283,105,2.6952380952380954,0
babyGen_back_clicked,277,174,1.5919540229885059,0
btn_bg_changer,245,149,1.6442953020134228,0
carousel_native_shown_language_screen_9,243,242,1.0429184549356223,0
babyGen_motherPhoto_clicked,241,139,1.7338129496402879,0
babyGen_fatherCropConfirmed,239,135,1.7703703703703704,0
babyGen_generate_clicked,222,134,1.6567164179104477,0
babyGen_motherCropConfirmed,218,132,1.6515151515151516,0
carousel_native_shown_language_screen_10,207,205,1.0507614213197969,0
babyGen_generation_started,199,129,1.5426356589147288,0
babygen_start,199,129,1.5426356589147288,0
backgroundChanger_cropConfirmed,193,98,1.969387755102041,0
notification_dismiss,187,93,2.253012048192771,0
babygen_result_shown,183,118,1.5508474576271187,0
screen_view_babyGenResult,183,118,1.5508474576271187,0
no_server_dialog_from_request_failed,175,131,1.3358778625954197,0
babyGen_generation_success,174,113,1.5398230088495575,0
babygen_result_fcm,173,111,1.5585585585585586,0
notification_open,173,87,1.9885057471264367,0
transformation_cropConfirmed,164,75,2.1866666666666665,0
backgroundChanger_generation_started,158,91,1.7362637362637363,0
changebg_start,158,91,1.7362637362637363,0
settings_language_clicked,156,123,1.2682926829268293,0
screen_view_backgroundRemover,155,92,1.684782608695652,0
btn_bg_remover,154,91,1.6923076923076923,0
carousel_native_shown_language_screen_11,153,152,1.047945205479452,0
cartoonize_start,144,70,2.057142857142857,0
transformation_generation_started,144,70,2.057142857142857,0
changebg_result_fcm,130,76,1.7105263157894737,0
cartoonize_result_shown,127,64,1.984375,0
screen_view_transformationResult,127,64,1.984375,0
babyGen_genderSwipeLeft,123,63,1.9523809523809523,0
babyGen_girlSelected,123,63,1.9523809523809523,0
cartoonize_result_fcm,120,62,1.935483870967742,0
transformation_generation_success,118,63,1.873015873015873,0
carousel_native_shown_language_screen_12,114,114,1.0458715596330275,0
app_clear_data,112,40,2.9473684210526314,0
backgroundRemover_cropConfirmed,104,54,1.9259259259259258,0
in_app_purchase,100,71,1.492537313432836,266.58918
carousel_native_shown_language_screen_13,93,93,1.0449438202247192,0
enhancer_result_manual,92,35,2.6285714285714286,0
backgroundRemover_generation_started,90,52,1.7307692307692308,0
bgremove_start,90,52,1.7307692307692308,0
carousel_native_shown_language_screen_14,88,87,1.0731707317073171,0
bgremove_result_shown,84,50,1.68,0
screen_view_backgroundRemoverResult,84,50,1.68,0
purchase_api_failure,83,65,1.2769230769230768,0
babyGen_save_clicked,82,49,1.6734693877551021,0
transformation_back_clicked,82,49,1.6734693877551021,0
bgremove_result_fcm,81,48,1.6875,0
backgroundRemover_generation_success,77,50,1.54,0
carousel_native_shown_language_screen_15,71,71,1.0757575757575757,0
settings_shareApp_clicked,64,51,1.2549019607843137,0
carousel_native_shown_language_screen_16,62,62,1.0508474576271187,0
video_api_call_failed_wait_dialog,59,47,1.2553191489361701,0
video_api_call_failed,58,47,1.2340425531914894,0
backgroundRemover_back_clicked,57,31,1.8387096774193548,0
iap_silver_plan_clicked,57,40,1.425,0
carousel_native_shown_language_screen_18,54,53,1.0588235294117647,0
settings_rateApp_clicked,54,40,1.35,0
app_update,52,52,2.736842105263158,0
carousel_native_shown_language_screen_17,51,51,1.0408163265306123,0
backgroundRemover_save_clicked,49,32,1.53125,0
settings_support_clicked,49,41,1.1951219512195121,0
settings_privacyPolicy_clicked,45,38,1.1842105263157894,0
carousel_native_shown_language_screen_19,44,44,1.0476190476190477,0
transformation_save_clicked,42,21,2,0
babyGen_genderSwipeRight,39,32,1.21875,0
iap_gold_plan_clicked,39,33,1.1818181818181819,0
carousel_native_shown_language_screen_22,37,36,1.15625,0
iap_screen_fromBgResultScreen,37,26,1.4230769230769231,0
carousel_native_shown_language_screen_20,36,36,1.0909090909090908,0
iap_screen_fromnull,35,23,1.5217391304347827,0
carousel_native_shown_language_screen_21,34,34,1.1333333333333333,0
carousel_native_shown_language_screen_23,31,31,1.0689655172413792,0
btn_drawer_open,29,16,1.8125,0
carousel_native_shown_language_screen_26,27,27,1.173913043478261,0
carousel_native_shown_language_screen_24,26,26,1.0833333333333333,0
carousel_native_shown_language_screen_27,24,24,1.0909090909090908,0
carousel_native_shown_language_screen_25,23,23,1.0454545454545454,0
carousel_native_shown_language_screen_28,22,22,1.0476190476190477,0
carousel_native_shown_language_screen_29,22,22,1.0476190476190477,0
carousel_native_shown_language_screen_30,21,21,1.05,0
carousel_native_shown_language_screen_31,21,21,1.105263157894737,0
aivideo_result_manual,18,2,9,0
