# ----------------------------------------
# Events: Event name
# Account: Default Account for Firebase
# Property: messenger-sms-and-home-app
# ----------------------------------------
# 
# All Users
# Start date: 20260831
# End date: 20260906
Event name,Event count,Total users,Event count per active user,Total revenue
grid_option_3col_click_AppDrawerSettings,18,8,2.25,0
close_search_button_click_Chat,17,7,2.4285714285714284,0
result_row_click_Search,17,5,3.4,0
delivery_reports_set,16,6,2.6666666666666665,0
sort_menu_item_click_Home,16,11,1.4545454545454546,0
notif_vibrate_set,15,7,2.142857142857143,0
MMS_size_limit_click_Settings,14,4,3.5,0
grid_option_4col_click_AppDrawerSettings,14,10,1.4,0
manual_entry_cancel_button_click_Contact,14,7,2,0
resend_button_click_Chat,14,2,7,0
search_button_click_ContactPicker,14,7,2,0
Unread_chip_click_Search,13,5,2.6,0
message_result_click_Search,13,3,4.333333333333333,0
became_default_launcher,12,12,1,0
All_chip_click_Search,11,4,2.75,0
auto_delete_set,11,7,1.5714285714285714,0
conversation_row_click_AfterCall,11,4,2.75,0
Mark_all_as_read_click_Settings,10,1,10,0
language_es_click_LanguageOnboarding,10,4,2.5,0
mark_all_read_click_Settings,10,1,10,0
set_default_app_button_click_Home,10,9,1.1111111111111112,0
set_default_sms_button_click_home,10,9,1.1111111111111112,0
Delivery_reports_click_Settings,9,2,4.5,0
notif_preview_set,9,6,1.5,0
sms_receive_failed,9,1,9,0
app_clear_data,8,6,2,0
call_again_button_click_AfterCall,8,3,2.6666666666666665,0
forward_button_click_Chat,8,4,2,0
grant_permission_button_click_Home,8,8,1,0
grant_permissions_button_click_home,8,8,1,0
language_fr_click_LanguageOnboarding,8,7,1.1428571428571428,0
settings_button_click_Home,8,5,1.6,0
sort_applied,8,5,1.6,0
sort_sheet_dismissed_click_Home,8,7,1.1428571428571428,0
Vibrate_click_Settings,7,3,2.3333333333333335,0
category_row_Entertainment_click_AppDraw,7,6,1.1666666666666667,0
grid_option_5col_click_AppDrawerSettings,7,7,1,0
sms_resent,7,2,3.5,0
